"n" "app" "old" "new"
16384 100 15151.1098826146 11295.6235000791
16384 100 16138.7557000591 15706.9753254929
16384 100 824.054717565046 601.91814399343
16384 100 824.968995591121 645.313916965518
16384 100 455.354646161949 375.753636503719
16384 100 486.020114660116 403.790332899563
16384 100 343.830748895436 270.373409192934
16384 100 362.626877421202 284.536780487553
16384 100 293.952814446907 222.074465927614
16384 100 303.161074332001 230.112239673751
16384 100 269.628210589694 197.14459698773
16384 100 277.035859489463 202.288835907735
16384 100 256.215410954102 182.520732559083
16384 100 262.389430792316 187.080228392023
16384 100 250.721747737956 177.421450124659
16384 100 257.386285444274 182.731893972533
16384 100 244.294055409123 171.898843831665
16384 100 248.03956314521 176.383127371033
16384 100 239.290363427257 168.183306146406
16384 100 243.428350539588 172.52590050859
16384 100 237.872435837765 166.609891946789
16384 100 241.902997433588 169.604377062016
16384 100 241.040615949575 170.031417531668
16384 100 246.728335823362 173.845715843507
16384 100 252.701923915333 179.568906766296
16384 100 260.628616971992 185.095354553505
16384 100 13925.2133322073 9832.43981376036
16384 100 13942.1311080189 10935.5134362484
16384 100 13942.1311080189 10935.5134362484
16384 100 13842.6387805635 13711.5261697031
16384 100 5275.66433435224 3263.94843893276
16384 100 6893.09117291683 5966.66005492745
16384 100 2676.72928463509 2450.87821314218
16384 100 7028.01973678237 5494.77274243897
16384 100 6942.57048949627 7300.38270766801
16384 100 3173.62403255584 3489.35119081308
16384 100 5516.83389011056 4645.84938127714
16384 100 8110.11088679483 8579.88564304965
16384 100 3167.04363316588 3103.26505850181
16384 100 5631.39680774206 4980.96136447427
16384 100 8284.17196175611 8006.88236885353
16384 100 3176.96649680575 3338.96647494569
16384 100 7112.51280938067 7435.24441967243
16384 100 8211.20947149683 8976.86074105752
16384 100 2905.60646428735 3117.63928703681
16384 100 7177.23392014533 5948.40615536056
16384 100 8961.46659767045 10510.3531982195
16384 100 3035.97599111532 3328.0374900082
16384 100 6660.27344852035 5514.65563266759
16384 100 8324.88914572909 9165.99583852546
16384 100 3359.15098350201 3005.66710940793
16384 100 8314.10551672453 9085.03488092362
16384 100 8947.44335228015 9340.49448468378
16384 100 3424.56777082369 3328.66410503447
16384 100 7708.4375432192 6085.28430160709
16384 100 8308.36652785812 8522.60265809446
16384 100 3100.94417763217 3771.83285058124
16384 100 6905.60589713219 6049.66112394915
16384 100 8056.65597022273 9268.40976126051
16384 100 3370.04772887883 3449.8270008678
16384 100 7675.44538177849 7353.31709239577
16384 100 8291.64654713013 7799.64843093077
16384 100 3045.86443177511 3229.16638511642
16384 100 6277.56039563632 6851.78532752467
16384 100 6488.47894024121 7956.19608474308
16384 100 3136.77111061497 3714.81884693447
16384 100 795.598778970098 557.954252339663
16384 100 1820.31442214442 826.720109892678
16384 100 1434.77123967603 805.895617688227
16384 100 820.23062024015 607.151659350998
16384 100 1387.49682561618 797.779650557494
16384 100 1042.73397704579 669.507732575343
16384 100 1076.91020858843 673.697500783352
16384 100 859.831805699598 654.743353116544
16384 100 1663.72552559918 704.536553603763
16384 100 1749.47641747079 993.83393205119
16384 100 443.065381602835 358.986749273472
16384 100 931.515875270327 453.365990327081
16384 100 833.815594215856 472.728320408794
16384 100 481.00405843674 377.876113270012
16384 100 865.203652708273 461.053829667769
16384 100 664.451085076129 409.488425872855
16384 100 517.616506858313 409.020352248191
16384 100 523.042222359406 401.388535748463
16384 100 636.008785149299 412.309496891233
16384 100 1124.13954974023 511.613804035232
16384 100 337.09487752093 263.182572822618
16384 100 406.910296255067 303.325179182086
16384 100 475.915478521287 299.756186545176
16384 100 356.334307617237 267.147432542825
16384 100 402.282453474615 307.970373918362
16384 100 373.243905170509 277.99004613452
16384 100 374.210466790553 281.333128461966
16384 100 370.922330734534 279.906542332267
16384 100 372.460051622311 287.969989783019
16384 100 419.853631111579 314.396656228281
16384 100 290.298181179269 219.148426646531
16384 100 336.989947065784 248.866238244437
16384 100 343.757905231675 253.578274311346
16384 100 305.209640287616 223.829253177895
16384 100 343.472246996274 255.322013463788
16384 100 315.816710585594 230.690859863116
16384 100 316.901123484071 232.586609070909
16384 100 315.749160291768 230.907165263112
16384 100 316.392218782124 235.684535933285
16384 100 353.484567407296 258.677994386802
16384 100 267.153245556971 194.932191195458
16384 100 301.303008798556 216.319394126046
16384 100 308.171524230034 224.001186039639
16384 100 277.514304901969 198.340065490698
16384 100 305.45219409287 220.495441585677
16384 100 288.347343165896 204.564802720341
16384 100 287.980950195326 205.868242157405
16384 100 284.475204336793 202.784169030948
16384 100 286.965073551766 208.598369471248
16384 100 329.602718422894 225.300103941025
16384 100 252.974214103861 180.01169154733
16384 100 280.165392233233 197.237135214649
16384 100 285.293332150078 202.03829883646
16384 100 262.829790757953 185.088888204221
16384 100 282.853629769269 198.894194521905
16384 100 270.950292930665 189.530761311731
16384 100 269.820062262088 189.088268854138
16384 100 266.780990387036 186.504645254158
16384 100 269.176166262988 190.965751308263
16384 100 288.180347776379 201.197056295267
16384 100 246.424802455236 173.686311597466
16384 100 269.931245578044 188.524863651923
16384 100 272.888545704438 190.909668225557
16384 100 254.777273836955 177.502369784284
16384 100 271.340150588595 188.681354256748
16384 100 261.680881098458 182.243094319149
16384 100 261.091578831916 180.830363953819
16384 100 258.750659101297 179.79328284529
16384 100 259.729548661896 182.858206088396
16384 100 276.236994900305 191.193492510056
16384 100 241.352037078743 169.44198190979
16384 100 262.173869314244 181.984155339537
16384 100 387.283565067202 182.878437539354
16384 100 244.996120237456 170.92202291464
16384 100 349.513208891696 181.75145783009
16384 100 251.060254307769 175.143144644323
16384 100 249.34862566654 173.788688603694
16384 100 250.110396014274 174.515314994318
16384 100 253.081477101027 176.696064936274
16384 100 267.740041906906 184.298186718759
16384 100 237.658122000766 166.658489267121
16384 100 254.717544275251 177.240496131087
16384 100 259.226159728929 180.185669414302
16384 100 241.081501224208 169.430900281256
16384 100 256.982443310657 178.93877851894
16384 100 246.107199007953 172.133819939017
16384 100 246.041655137766 173.125756325127
16384 100 244.973056928346 171.300504026479
16384 100 248.538801192584 173.572289639544
16384 100 261.165401082408 180.678361927381
16384 100 236.087820906267 165.392443569151
16384 100 252.682920580438 177.721488432744
16384 100 254.691527233058 178.521754817985
16384 100 240.803726966463 169.016027014108
16384 100 252.93578333007 176.875566608749
16384 100 245.415648948592 172.19720105909
16384 100 245.176329452115 172.299371401524
16384 100 244.386619966055 170.88280646444
16384 100 246.156060748906 171.819231666663
16384 100 259.132154949054 181.365098206589
16384 100 240.162702827392 169.311442159548
16384 100 256.983812669749 182.842274173796
16384 100 259.172159630041 183.790469512846
16384 100 246.728696313115 174.554462343373
16384 100 256.351584290572 181.328307470883
16384 100 251.254155730211 177.936869973313
16384 100 250.663033737875 177.045049581198
16384 100 249.22411197302 175.344311103307
16384 100 249.08036867831 175.549794390054
16384 100 261.732039841974 185.104099775732
16384 100 253.697900051043 180.386796712223
16384 100 278.547051377985 200.041634220577
16384 100 282.724815675928 201.133271254119
16384 100 265.248055571818 188.86153404171
16384 100 278.050596190817 198.069771048993
16384 100 273.135312955153 194.863952793691
16384 100 269.180683064613 191.557597493724
16384 100 269.711129079372 191.505208422931
16384 100 266.997847566393 189.802259199072
16384 100 284.303574754546 202.420648371582
