"n" "app" "old" "new"
16384 1000 15980.1201450518 9314.48369159042
16384 1000 16260.6242669828 15238.3865549101
16384 1000 853.820532632592 461.137372487933
16384 1000 912.938661612188 480.517254694787
16384 1000 392.478349817746 300.041727524714
16384 1000 406.562029341927 298.632868832479
16384 1000 312.678522686121 229.807493368387
16384 1000 313.719074478021 224.701078720504
16384 1000 275.590975711368 197.295039685691
16384 1000 273.766978461485 191.334610436319
16384 1000 257.405803749007 181.176190957863
16384 1000 256.175995608351 177.864745740254
16384 1000 248.221485238145 170.987292294319
16384 1000 245.398641447122 168.099220349406
16384 1000 241.614285097576 165.621680945933
16384 1000 239.018929501786 162.903882146442
16384 1000 235.194787295817 160.517165793038
16384 1000 233.080043132915 157.981343773273
16384 1000 233.260016870394 159.148762977887
16384 1000 231.230643516849 156.884309310914
16384 1000 231.411645296195 158.7752574283
16384 1000 229.38869419094 156.818110752085
16384 1000 234.087170526239 161.147638778053
16384 1000 233.104094981326 159.354768216153
16384 1000 243.822319257104 168.798299110506
16384 1000 242.081038652002 167.092241242595
16384 1000 14556.9701326681 14694.3519511184
16384 1000 13962.5938349221 19258.824155968
16384 1000 13962.5938349221 19258.824155968
16384 1000 14106.0742247274 14236.2030633968
16384 1000 4435.45178207237 2159.14879968038
16384 1000 7367.40746073887 7088.80131963196
16384 1000 2504.59402503391 1807.28391243998
16384 1000 5746.6731167613 4263.35203791942
16384 1000 6626.41457854473 6799.83072726615
16384 1000 3072.08623688532 2877.8980517106
16384 1000 5100.96173460143 3477.9551936375
16384 1000 7675.99125610724 7661.43796317893
16384 1000 2862.45950955255 2644.17522248658
16384 1000 5807.46980309868 4515.59121025014
16384 1000 8235.92507288049 7873.01872332555
16384 1000 3277.64804874636 3707.51617570503
16384 1000 5426.26857903941 4224.65130901588
16384 1000 8259.02082654743 8253.01339375675
16384 1000 3129.54266155659 3369.74300194067
16384 1000 6523.54511344832 7859.49617783339
16384 1000 8042.20148963312 8490.52700638964
16384 1000 3160.82335708878 3695.40169221286
16384 1000 6293.80505029623 6018.53189187053
16384 1000 7865.81276804567 8548.95171531333
16384 1000 3337.3979608841 3582.33511454222
16384 1000 6812.86070787495 6330.11168207686
16384 1000 7806.65657894639 9330.65628824428
16384 1000 3115.76672420055 3744.45586996669
16384 1000 7101.65833419043 6065.81329253454
16384 1000 7815.57545690877 7433.59146639987
16384 1000 3053.92900131803 2737.74425072099
16384 1000 7170.16883115614 6653.89046080525
16384 1000 8150.13773043053 9690.4363698445
