"n" "ess.old" "ess.new"
10 19565.4844144502 13188.1516712709
10 20000 19630.3948604383
10 876.46786759502 696.059437940373
10 913.661543745792 735.023713390839
10 527.98856232893 420.645582289408
10 542.903287029418 433.633658050446
10 403.405339508413 301.18985921983
10 401.724008573772 299.407886379738
10 360.012399932232 260.633079608179
10 356.138739266995 253.776684370322
10 331.146450748004 234.793476811508
10 324.855609386817 228.255672872207
10 314.83930985422 219.984064591144
10 308.064053574253 215.441180515073
10 302.73762417209 208.979156791834
10 296.566854288473 206.836222906129
10 293.967689099726 200.506643771918
10 288.486011491248 200.272119203315
10 287.263148656025 192.13517423223
10 283.444811403153 194.793020887352
10 286.878204629725 192.125910829341
10 283.273715626516 194.408030318396
10 289.987147620181 194.801210867888
10 287.642691226391 198.342567018087
10 304.660858262936 204.938351391615
10 303.695631270919 211.085307433805
10 17315.4227067667 16647.6940794536
10 18043.592350827 15348.5564845764
10 18043.592350827 15348.5564845764
10 17619.0760536052 16750.2595455045
10 4876.23390072546 2690.16192680963
10 8366.89374414955 7270.56607427331
10 3320.12727638218 2712.29201469993
10 8188.45705372293 5423.13108541483
10 8062.8351342125 7864.10604978636
10 4004.70228379542 4210.43091547474
10 6304.25434686324 5150.50182710919
10 9549.2057582401 8910.71559688327
10 3447.8767540717 3678.77519815816
10 7626.47830559076 3700.00525246609
10 9295.3152557558 10933.4070195637
10 3863.16974312702 3052.84587334227
10 7565.91357183002 7292.82753487019
10 9043.85562215279 9627.04268932156
10 3728.46775652741 3781.71071693286
10 6857.32149716503 7203.20484405193
10 10231.1667455681 12232.5738095916
10 3507.88513465032 3870.85848973424
10 7916.97156751434 6570.40745189541
10 9777.91964054215 10338.3064913575
10 3875.91898334906 3710.20055277079
10 7862.56079601069 6422.02613903907
10 9650.35433409216 10535.5662033082
10 3626.74838949519 3531.17095809147
10 8484.72841374533 9181.73925196622
10 9975.76944246561 14247.9689290749
10 3809.57344336516 3346.55483443657
10 8931.91794272799 6905.74706539204
10 9901.61177338875 9948.00156187144
10 4062.54622064699 4275.80160996896
10 7327.55520401866 6761.90861894594
10 9418.4585756599 10002.8246220921
10 3715.98148597844 3367.4509751303
10 8071.86085597486 6342.14564094797
10 7758.82984345293 8146.38601833787
10 3807.75366339651 4801.04585624142
10 823.248559366016 653.739574317136
10 1732.67610163383 910.428789683126
10 2321.75012307629 933.887565594311
10 1060.20069324787 687.057328501776
10 1809.84514813756 972.001105448004
10 1145.23273798441 745.579363286546
10 1312.08162094042 750.966035648485
10 1263.9237000963 749.483996103308
10 1240.23659623605 847.213631358639
10 2252.46664770571 1139.37567882657
10 504.623437109447 394.29391119857
10 855.952243206528 544.965718813512
10 804.41694708973 554.714742609658
10 548.654478854974 415.633369791442
10 984.645886016409 534.946739582113
10 648.117305795664 458.515757574454
10 586.491270762473 439.02363909587
10 578.951044716874 435.129030876038
10 685.273190637318 475.373957847759
10 1359.73821351528 623.354482953247
10 395.168959882625 294.572932584271
10 503.335216627577 365.498228881192
10 515.055307299203 374.540503944699
10 409.500088350394 293.002111022366
10 504.398349783542 368.205799616552
10 437.628176120016 312.268992578064
10 590.027778406522 305.751805344388
10 422.454158571777 300.189596610023
10 452.719914786696 330.51999416449
10 551.919543915561 388.006357567095
10 351.218629551862 253.988991770993
10 423.571048304669 299.243293780451
10 428.47672510375 302.351946159026
10 350.645938399209 241.494349321562
10 425.455508975891 302.483166526159
10 367.048126610159 252.629249351393
10 368.313407757928 253.034984257573
10 359.212745225813 248.737980593788
10 396.24702311433 283.423541006572
10 430.944819045534 302.274313450609
10 325.237754196657 230.686286886576
10 380.8270840576 265.067701229458
10 382.936213993121 265.745489341716
